Date,Inq
16-Jul,"maintaining a positive momentum with respect to our lean journey 

turner construction is on a lean journey we regional lean managers have been employed in this role for just over a year we hold leaning forward group meetings where our folks meet at one of our construction sites and discuss a lean topic our company is very much focused on becoming a 100% last planner system company meanwhile we are also asking each of our projects to be involved in continuous improvement groups where we seek to improve every process within our co"
16-Jul,we are about to undertake a major erp transition for a 3 500+ employee organization that provides services to 30k+ constitutents a strong objective of the executive leadership team is to utilize this opportunity to improve our business processes institution wide in a comprehensive and transformative fashion
16-Jul,leaders are struggling with developing people to be independent problem solvers
16-Jul,improve patient care specifically related to team based care and patient experience
16-Jul,i am kicking off a lean program that is relatively new to me and brand new to the organization i am the newly appointed president with passion for continuous improvement and i feel this is the right time and staff to launch lean
16-Jul,train and qualify team of consultants together to unify the methodology and approach for lean or process improvement projects particularly in the government and service sector
16-Jul,we are moving away from traditional manager directed work to self directed work teams
16-Jul,as we continue our lean journey we are looking to have our senior leaders exposed to and educated around hoshin kanri we have been doing improvement work related to a value stream mapping event we did about 18 months ago while the work is producing good ideas to focus change its tough to get traction about the implementation as we think about it its likely that we are missing some of the key staff engagement at all levels around the future goals that hoshin kanri might better help us establish
16-Jul,looking to create a lean program at our company
16-Jul,we are looking at the lean thinking model to assist with removing wasteful activities improve efficiencies while keeping a customer centric focus
16-Jul,our lean team is interested in learning more about toyota kata we have individuals who have implemented kata with clients but as a team we have limited knowledge
16-Jul,get buy in and strategic alignment with leadership
16-Jun,building capability in supervisor and leads enabling front line leadership to follow a more structured approach to solving problems
16-Jun,lack of lean coaches / mentors and leader standard work
16-Jun,trying to improve the efficiency of the operations in the outbound and value added services area which is currently facing challenges to achieve the desired productivity levels
16-Jun,"the changes in healthcare to comply with meaningful use patient centered medical home insurance carrier incentives and others do not have consistent requirements and are moving from ""carrot"" to ""stick"" approach over the years we have added people to our practice to support the initiatives however the entire system is to the point of insanity innocently one department implements a fix to their problem that results in a problem in another department"
16-Jun,several members of our leadership team attended the 2016 lean healthcare transformation summit as our organization is preparing to begin our lean journey we’ve been approached by consultants about conducting an onsite “lean readiness” assessment and an introduction to lean training for a segment of our staff i’m reaching out to discuss options through the lean enterprise institute
16-Jun,"creating a lean culture
 improving profitability and cash flow"
16-Jun,improve work culture
16-Jun,supervisors lack of methods and skills
16-Jun,we'd like to bring lean methodologies to our risk review process at the company
16-Jun,receive coaching for the management team on implementing a 7s program we added safety and security to the 5s model
16-May,we want all of our managers trained in lean principles more efficiency reducing wastes looking at processes more effectively
16-May,we are a non manufacturing company that would like to implement the principles of kaizen / continuous improvement to our organization our president used to work at apple and this tool was used widely there and he was highly impressed with its results
16-May,we have been working a vsm related to improving our new product development for a year and a half current state at the start was about 10 months with a goal to reduce it to 4 months many changes to the process vsm process itself not enough to the npd unfortunately and several changes of the players involved as well
16-May,training on value stream mapping specifically value stream mapping a methodology for sustainable system improvement
16-May,overlapping of processes and procedures waste in our current procedures and handoffs etc
16-May,margin erosion
16-May,current strong focus on process improvement coaching how to integrate targeted differentiated developmental coaching with lean coaching?
16-May,"the pe team has a variety of skills and talents internally developed and externally developed there was a strong focus on six sigma that transitioned to rapid process improvement over the past 15 years we need to strengthen and align the foundation of our process excellence team on lean concepts that can and should be applied to all of our efforts we are also at a point when a majority of the team is new either to process excellence or to wellmark so it is great timing to have everyone attend ""key concepts of lean"" i would like to get a cost estimate to bring this in house versus sent everyone one off to this session earlier this week i had two junior team members attend dave lahote's session in chicago and they saw value in this not only from a new employees perspective but also from a tenured process improvement professionals perspective"
16-May,fix our 'customer experience' issues by utilizing lean as the approach
16-May,we are just getting started on implementing a lean culture in alignment with our business strategy to reduce end to end lead times and while we have many knowledgeable individuals in the principles of lean we are not ready as an organization for coaching upwards therefore we are currently in need of developing a group of individuals with coaching capabilities to support our leadership in leading this cultural transformation of the manufacturing organization
16-May,our organization is going through major transformation our new cio comes from ge and is well practiced in lean / six sigma concepts we would like to begin providing learning to some key people within our data and technology division to determine how to best approach implementing lean
16-May,we are hoping to have an overview of lean to bring ideas of efficiency and savings to the school district
16-May,education of our managers and engineers in the use of a3 and lamda
16-May,formalize both management processes and apply a3 thinking to strategy first and tactical work second in a way that can evolve our organization toward shared success we are a community resource helping care delivery organizations migrate their strategy toward value based care
16-May,creating a new culture for problem solving and performance improvement consultants have come and gone but we never sustain a consistent method of strategy deployment and change process
16-May,encourage a culture of improvement and efficiency and empower employees to drive imrprovements through tools and training
16-May,"cyber security software startup/rapidly growing
to establish infrastructure/process and project development and management for customer facing teams"
16-May,"i am business growth advisor for a social and market research firm based in tbilisi georgia the team is well established and is poised for regional expansion before they can expand they need to evolve how they work to deliver their research products and services they are stuck in a vicious slow moving emotionally charged waterfall 

i am look for an experienced agile coach and trainer to host an onsite training for the team this summer ideally june"
16-May,figuring out the math in kanban usage understanding inventory levels
16-Apr,i learn with a group of outside professionals and we are interested in pooling our resources to have a workshop in salt lake city i'm interested in learning more cost information before polling the other members to see what topic we would be interested in
16-Apr,speech on what lean agile means and why we need to adopt this way of working consequences if we don't
16-Apr,form a strategic plan to implement lean thinking into our company
16-Apr,we are an electrical distributor that has a cdc model we have 4 cdc's one in maryland one in new jersey one in connecticut and one in mass our goal is to adopt lean principles to assist in improving efficiencies within our distribution centers
16-Apr,the company is just beginning our continuous improvement journey we are planning to start with a 5s initiative we will be moving our maintenance shop from a very congested space to a new building we want to train some of the maintenance staff on 5s so that we can purge some of the accumulated parts and equipment and have a well laid out safe and efficient new shop would you be able to quote a 1 or 2 day facilitated 5s workshop at our site in st helena ca? there would be 5 to 6 attendees thanks
16-Apr,increase skills and abilities of staff to effectively influence and align policy stakeholders internal customers and decision makers
16-Apr,"lack of buy in by front line employees as a result of years of micromanagement this has created an ""us against them"" mentality between employees and front line managers which as a result has created quality problems schedule problems etc"
16-Apr,we do not have a specific problem we want to get our people trained so that we can do improvement projects on our own
16-Apr,build organizational capability for effective and sustained continuous improvement problem solving waste reduction and continuous improvement processes areas in focus are corporate travel order management payroll credit accounts payable revenue
16-Apr,labor intensive services
16-Apr,instill a lean culture in the company
16-Apr,while we have had a lean office in place for some time and the full support of our senior management the challenge is getting the organization to take ownership and drive lean process improvements part of the problem may be in the way we run our lean office or it may be lack of buy in and participation by those that do the work
16-Apr,need to get the warehouse organized and more efficient
16-Apr,our business currently lacks uniformity and advanced knowledge of lean manufacturing principles and we have a difficult time implementing the concepts in practice
16-Apr,better educate our employees on the fundamentals of pes specifically around value stream mapping and process mapping
16-Apr,to apply lean principles to a mixed model shop with very intermittent demand
16-Mar,we are trying to develop a ci lead development program to address the resource constraint we encounter when trying to grow the impact of lean as an improvement methodology within our business
16-Mar,we are not currently focused on the people side of our business as an equal to the process side currently we do not grow leaders from within and have a very flat base
16-Mar,our company develops psychological assessments and our standard product development cycle time is too long often time there are many products fighting for resources
16-Mar,open technology academy is an on line educational platform for russian state owned industrial companies we are looking for a partner who could create an on line course on lean supply chain and quality management
16-Mar,"several we have embarked on a lean transformation culture change and still in the process of getting our senior leadership fully engaged we have included the shingo jake raymer model of principles driving behavior however with a team of ""doers"" we cannot think our way to new behaviors from previous experience we know the behavior change to new habits comes through practicing new routines and we have started with this intro to gemba walks but we need a bit more equipping and an outside voice to lend more authority to our message we feel the toyota kata workshop fits this need well"
16-Mar,"we provide radiation oncology services to patients within the northern alabama southern tennessee area we have a busy practice with 4 clinics treating 165 200 patients per day most patients receive several weeks of daily treatment this is a multidisplinary groups consisting of physicians nurses physicists dosimetrists and therapists 

i'd like to explore opportunities for our organization to pursue lean initiatives to improve both the quality and safety of our patient care delivery process"
16-Mar,one location is moving to new location good opportunity to begin to establish new habits metal fabrication shop also would be an opportunity to have key employees from other locations steel processing and some fabrication to learn the benefits of implementing 5s methodology in the older plants
16-Mar,refresh lean training we're reorganizing and our leadership will be revised and would like to understand your thinking on what we can do to help them better run the business timely question i have a report out on april 12 on this matter
16-Mar,"we need a better training model our currant primary trainer quite frequently uses the phrase ""i already told you this once"" i have attended a 'train the trainer' training and know it takes more than a single disorganized out of sequence attempt at teaching to successfully train 

in addition he uses anger and copious invectives to motivate"
16-Mar,speed up the lean journey effectiveness by having a number of management employees exposed to continuous improvement training at once
16-Mar,we are a service industry and we have documented our sops but not sure how we go about making the processes lean we would like to grow without hiring more staff i know we can't be doing everything the most efficient way since we have never studied how and why we do most things
16-Mar,we need to do a lean exercise to introduce lean concepts to our plant managers using something similar to the airplane or lego exercises
16-Mar,process improvement operations efficiency
16-Mar,we desire to elevate the knowledge level of practical hands on lean manufacturing most of my team members are knowledgeable in lean principles yet there seems to be a gap between the principle and the actual application
16-Mar,we are looking at teaching our supervisors the basics of lean manufacturing
16-Mar,we have global i t processes whose cycle times could be improved
16-Feb,we are currently planning a workshop for our lean practitioners in may our focus in the next 1 3 years is to develop our full time practitioners and continue to develop a cpi culture throughout air force reserve command the command started a strategic focus on cpi through lean approximately 7 years ago but we have not made the transformation to where we need to be yet
16-Feb,due to turnover we need to train on leading a kaizen event
16-Feb,our hospital is releasing a balanced score card system in april on the organization level we will release bscs for division level and unit level later in the year we currently have one black belt and foresee demand surpassing capacity by the fall we plan on starting green belt training in the spring but will need help with facilitation of projects while our black belt is training the green belts and working with them on their projects
16-Feb,creating a corporate synergy of lean while still maintaining autonomy between locations
16-Feb,"the results of our root cause analysis more often than not result in ""human error"" and/or ""need to do more training """
16-Feb,we are a high mix low volume assembly plant looking to drastically improve attainment customers are becoming increasingly demanding to shorten leadtimes and are constantly placing orders within our time fences we are maxed out on manufacturing capacity and find it very difficult to hire more people our only hope is to reduce our assembly times and not add significant fg inventory to the shelves
16-Feb,"process improvement
document control"
16-Feb,reduce wip reduce scrap
16-Feb,"we are interested in business process optimization an overview of your available seminars leads us to believe that the following seminar suits our needs best 

optimizing flow in office and service processes"
16-Feb,understand and implement leader standard work
16-Feb,improve patient care by eliminating waste and later train higher education leaders to do the same
16-Feb,we are trying to get our manufacturing directors supervisors and managers to understand how the decisions they make using our lean processes affect our bottom line we want to know how to evaluate the roi for our lean activities we need tools hands on activities and proven processes to gather this information to determine a tangible roi
16-Jan,we are looking to introduce the concepts of lean to approximately 50 personnel ranging from operators to managers at a manufacturing facility to complement this we are also looking to do an initial kaizen event identified through our vsm with a small subset of the employees to introduce further concepts train a select few to run our own kaizen events and to provide us the tools to do further kaizen
16-Jan,continuous improvement thru lean mfg principles
16-Jan,"my team needs to increase its competency in value stream mapping particularly as it pertains to the office environment we have too many ""opinions"" about if or how vsms can be applied and not enough knowledge once we replace opinions with knowledge we can lead others in our company through an effective vsm process"
16-Jan,we are a finance company helping the health home to process their billing and finance we are seeing inefficiency in our daily work we are looking for improving our process and engagement with our client
16-Jan,"hello 

we are a large pharmaceutical manufacturing organization and had started our journey of incorporating lean thinking and methodology in to our processes currently we are establishing a continual improvement function manufacturing excellence so looking for a partner to develop a training package including the relevant tools and build capability across the employees"
16-Jan,first of all i believe that upper management should understand and believe that lean can change our lives and will transform the company to be a leader in its segment after trained this group introduce lean thinking in all 24 sites around the world
16-Jan,we are shaping the lean transformation journey in our company this is a tough work so we need external help to drive the achievement successfully across the entire organization
16-Jan,we currently do not have complete buy in of our lean efforts by the senior leadership team and lean projects are derailed by managers who do not wish to participate or dis agree with team recommended changes after several years of doing small scale events the emphasis is only on cost reduction efforts and not lead time reduction standard work or elimination of waste so we are missing a lot of opportunities without the support of the executive level
16-Jan,nop started our lean journey in yr2012 we have been relatively successful in implementing 5s sustaining results and the setup of a pilot lean line with problem solving/escalation/visual mgmt logistic run purchasing sm fg sm and kanban we currently do not have a knowledge source to help grow our understanding in lean manufacturing while our results have been positive we need to develop a core team to continue driving our efforts
16-Jan,"we are interested in training our managers on lean and are particularly interested in 2 of the trainings you have listed 
lead with respect practicing respect for people to enable engagement teamwork & accountability
managing to learn the use of the a3 management process"
16-Jan,"provide 1 2 day training for the senior executive leadership president and staff of vp's on lean fundementals and lean leadership they realize the need to be ""trained"" to be able to continue our lean transformation"
16-Jan,we'd like to explore on site training for kaizen & 5s
16-Jan,stagnation of employee input for areas that may be improved within the facility
16-Jan,we have recently come to terms with the fact we are a hybrid product and managed services provider company we are looking to empower team to improve processes around our managed services
16-Jan,improve our business excellence managers ability to lead change
16-Jan,"novo nordisk is pharmaceutical company located in denmark we are located in a subdivision device r&d with approx 300 employees lean is a well integrated part of novo nordisk and likewise device r&d were we among others have a lean school/academy offerings our employees lean training at 4 levels basic 1 star 2 star and 3 star where the 2 star and 3 star programme is offered by product supply 
our problem and purpose of contacting is that we in device r&d would like to offer our employees a specially customized 2 star programme"
16-Jan,waste reduction within the service side of halliburton's business lack of knowledge by the current ci team to engage at an executive level
16-Jan,sustainability
16-Jan,inefficient/ineffective quality improvement processes lack of employee engagement
15-Dec,we are looking for someone that can provide on site training on the a3 management process and value stream mapping our corporate planning administrator and one of our business relationship managers attended one of your workshops earlier this year and we would like to include others in this training
15-Dec,lean material handling system for purchased parts
15-Dec,i want to train a group of material supply managers from 6 factories how to identify losses in the upstream supply chain our supplier base through to the lower level inventory in our factories overall goal is to improve responsiveness making a step change in lead time secondary objective is to optimize the inventory position whether sitting in our suppliers from feedstock to finished components or our supplier's depots where we 'call off' what we need or our internal warehouses
15-Dec,we are looking for assistance on kaizen/5s training for our employees specifically it has been requested for training on using 5s to organize email/pc files
15-Dec,"hello 
looking to see if we can have any training on site about lean tools"
15-Dec,we are launching a multi year opex strategy within our company with initial focus in our two biggest plants one in chicago heights ill and the other in cheyenne wy these two plants will become models for our other 4 production facilities plus the hq functions lean tools are a big part of our opex plans over the years we have completed a number of 5s vsm/5s events at all of our plants with poor sustainability i would like to get a price for having lei come to each of the plants in early 2016 to provide a one week introduction to lean with an overview plus 5s training as well as something related to optimized maintenance processes these two areas are going to be the initial focus for each of our plants
15-Dec,as a new ci manager with ari i'm looking to promote lean thinking there are various projects which can be worked on but i would like to begin the foundation
15-Dec,i simply want to expose a few people to lean manuf
15-Nov,"work processes to make it more clearer so that they are lean with very little or no unnecessary bureaucracies promotes innovation allowing for continuous development and growth of our people at every level more so for people at the interface of service delivery and service recipients to allow us to deliver high quality services that our customers/patients value 

mindset to culture growth mindset leveraging on strengths of the diverse group of colleagues in our organisation 

impact measurement enable continuous monitoring of our performance through measuring impact that matters to our customers – this will not only gauge where we are in the journey towards our vision but will also be a basis for continuous improvement and motivation of our people and at the same time gain confidence and respect of our customers"
15-Nov,we need to provide effective problem solving / root cause analysis training to a group of individuals at our company
15-Nov,general lack of knowledge and practical application skills relating to continuous improvement
15-Nov,process improvements in our daily manufacturing of cable assemly products
15-Nov,i reached out to josh howell email regarding a discussion on co learning partnership but have not heard back we are maturing our process excellence program and engage lean six sigma and process management although we are light on lean value stream mapping is an important topic that we would also like to discuss
15-Nov,no problem seeking basic introduction to lean
15-Nov,to streamline the process of managing a cmo network in a pharma environment using lean concepts
15-Oct,process improvement efficiency
15-Oct,to learn lean prinicipals and bring them t our construction teams
15-Oct,quality & delivery
15-Oct,we currently have a gap where we don't have a solid problem solving/root cause analysis training program on site
15-Oct,need to conduct lean diagnostic to explore saving opportunities
15-Oct,creating a lean culture in an organization that has no lean program nor training
15-Oct,organisation of my materials within the company garages
15-Oct,we want to incorporate lean and kaizen in our organisation therefore we like our people to be trained on key concept of lean and kaizen the culture of continuous improvement
15-Oct,program sustenance and support from the top leadership is missing
15-Oct,a structured approach to problem solving
15-Oct,develop lean leaders institutionalize lean leadership behaviors describe how lean culture aligns to corporate values help leaders build lean business rhythms and cadence teach leaders lean processes and tools help leaders understand the practical connection between lean and business results help lean leaders understand importance of talent development
15-Oct,we are looking to implement lean principles to improve quality and customer service most of our team has very little knowledge of lean or six sigma
15-Oct,teach value stream mapping so we can apply this technique to eliminated waste improve productivity and deliver value to our customers and employees
15-Oct,we want to establish a culture of continuous improvement we are a fast growing company and are making strides to standardize our work and eliminate some of the variability in our operation one of our next steps is to establish a consistent operating philosophy and set of skills among our managers to ensure we're working to get better every day
15-Oct,we lack a detailed problem solving/root cause analysis course
15-Oct,josh's more senior than me just don't get it i josh around just trying to fulfill our mission of making others laugh through lean thinking and practice only to be unsupported and told i'm weird by top management it sucks come fix them
15-Oct,seed the company with individuals who are trained and ready to start practicing structured problem solving and developing people through problem solving
15-Oct,lack of engagement of leadership team in value and utilization of lean tools
15-Sep,kanban education
15-Sep,engagement of management to a lean culture implementation
15-Sep,senior managers want a lean culture but they do not know how to model it
15-Sep,"improve and create unified culture around continuous improvement
empower managers and front line staff
improve safety quality and efficiency
long term financial stability"
15-Sep,engagement and buy in from senior leaders
15-Sep,lots of doing little results iterative performance improvement with very little gain in healthcare quality metrics
15-Sep,i am doing lean on crane industry and 1 product takes time of 30 days to complete and i select value stream mapping method but confusion about takt time how to find it
15-Sep,want to roll out a continuous improvement program focusing on the identification and elimination of waste
15-Sep,we wish to institutionalize the lean approach to problem solving and design thinking at ohio university we wish to do this in order to do more with existing resources increase innovation capacity optimize resources eliminate waste maintain affordability and access we plan to do this by by bringing together interdisciplinary teams with tools and training to leverage existing strengths for greater value
15-Sep,expose an existing ad hoc process improvement team to lean concepts and tools with a focus on incremental improvements and optimizations
15-Sep,help teams improve efficiency in their processes
15-Sep,build a competency and discipline for problem solving and process improvement
15-Sep,we are trying to implement lean program at our site but our initial focus is waste elimination 5s and standarization we want our people understand and apply these basic concepts to serve as foundation for kaizen
15-Aug,to engage leadership team with lean concepts looking for a workshop of some sort
15-Aug,we have a new company mission and vision statement in order to achieve our new mission we need to look at processes across the organization there are no doubt procedures and tasks being performed that no longer add value we need to streamline processes and create efficiencies in the way we work
15-Aug,solve for process inefficiencies
15-Aug,systems management for our local business participants
15-Aug,"1 break the misperception that good change takes long to happen 
2 develop the skill and understanding of a3 thinking to be able to teach others 
3 improve communication and break down silos across operations"
15-Aug,help leaders and employees adapt to our changing culture
15-Aug,we are looking for a partner to develop templates training modules deployment charts facilitation formats benefit capture templates etc for each of the four simplean levels
15-Aug,we would like to offer our corporate executives houston area operation managers and management staff introductory lean systems and concepts training
15-Aug,i would like our operation to think lean i have been trying to implement a 5s program but without the entire lean concept i am having difficulty getting buy in
15-Jul,an opportunity to offer a specialized team of process improvement professionals information that may either be a good refresher or new tools/approach we haven't used since certification
15-Jul,we would like lean training for office staff we are a manufacturing and have lean training for manufacturing employees but we would also like to extend this concept to our non production staff
15-Jul,"customer satisfaction 
non consistent month over month sales and profit results"
15-Jul,we are a lean manufacturer of winches and cranes we would like to work on flow pull scheduling/planning just to name a few we have had some organizational changes and have gotten a little off track because we don't train on it well the new hires we have coming in aren't trained fully we have had some turnover or position restructure where the knowledge isn't being transferred or we are falling into bad habits we have several cells that are setup and were working smoothly in the past we need to relook at them and work on them to get them back to the standard we want
15-Jul,increasing depth of lean knowledge and expertise primarily in office and distribution environments
15-Jul,an influx of new associates in our manufacturing facilities has taxed our ability to train them we’re looking for a systematic approach to training new associates at various manufacturing processes we also need to establish training for our frontline supervisors
15-Jul,support on the plant expansion planning layout material flow people flow logistics flow space optimization under a lean approach 5 000 sq meters of growth
15-Jul,trying to create efficiency with our processes and develop a better understanding about lean services
15-Jul,we are interested in a one day workshop on lean enterprise for managers participating in our abb operational excellence program the workshop will be repeated 3 times as indicated below focus could be le overview key concepts vm kaizen gemba etc lean implementation lean culture lean administration examples/success stories/key challenges
15-Jun,we want to facilitate a workshop for very senior executives
15-Jun,we own and operate 14 retirement communities in 10 states throughout the us we want to reduce operating expenses through the identification of waste in our organization
15-Jun,1 lack of knowledge about lean manufacturing and problem solving/root cause analysis
15-Jun,we are looking to enhance the coach building skills of our sr consultants who have been hired to train our employees/leaders on lean methodologies
15-Jun,"in the last two and a half years we have invested efforts in deploying a lean culture in our organisation 12 manufacturing plants in us and canada the problem we face now is moving from the traditional management style to the lean style for high management plant general managers and vp's we are driven by results not patient enough and still too much directive 
to differentiate ourselves from competition from a manufacturing stand point machines and equipments are very easy to copy for competitors process are not that easy to copy for competitors and people capabilities which is our biggest asset is very difficult to copy 
this is where lean can help"
15-Jun,many new employees in the continuous improvement process and we need to revamp our knowledge
15-Jun,we are interested in developing our skillsets for managing kaizen events and value stream mapping additionally we have a number of team members who have no prior training in lean problem solving or exposure to lean concepts
15-Jun,improving our productivity accuracy and general processes
15-Jun,we have a young group of supervisors in a data management input qa credentialing that has not been involved in a great deal of process improvement
15-Jun,train basic lean concepts to shop floor associates
15-Jun,"high level increase our improvement rate
provide development for our ci people leaders"
15-Jun,"i've inherited a number of departments where a culture of ""checking"" work for quality appears to be in place rather than ""assuring"" quality or ""right first time"" i have some exposure to lean principles and want to drive a culture change to a more lean and continuous improvement approach but starting with focussing on driving out the nva currently embedded throughout"
15-Jun,no problems just looking to give local manufacturing excellence team a greater knowledge / skill set to pull from when facilitating organized improvement activities
15-May,trying to integrate lean thinking more into the corporate culture of genco
15-May,our team wants to do value stream mapping of our entire order to cash process to determine areas of potential improvement the workshop in june for value stream mapping a methodology for sustainable system improvement but not sure that i can get the correct people to that workshop
15-May,looking for a problem solving class for employees here at glenroy management to floor level i went through a 4 step problem solving workshop at my previous company serigraph and thought it would be good for us at glenroy
15-May,looking for kaizen training
15-May,adcb has a central team of 5 lean experts these finate resources can only work on limited improvement projects at a time the bank has taken some steep targets on cost and imporvements that requires atleast 20 to 25 lean experts to work on identified initiatives
15-May,would like a quote to have the 2 day key concepts of lean workshop conducted on site in covington louisiana for 4 people
15-May,value stream mapping training
15-May,improve our team problem solving skills
15-May,"training our continuous improvement team on the following the improvement kata
certified kanban foundations class
certified scrum product owner"
15-May,we would like to increase productivity in the meter shop specifically processes around repairing and testing meters
15-May,trying to achieve delivery to market more quickly trying ensure the knowledge is shared within the organization
15-May,trying to educate our staff supervisors managers engineers etc on lean fundamentals we are a large distribution center so need help teaching the staff on lean logistics lean supply chain material flow value stream mapping etc and strategies to implement tools to improve these remove waste in the business
15-May,improve and develop the operation
15-May,we are in the process of creating lean certifications at our company and we are looking to potentially partner with an external company to teach on site classes on lean the content of the on site classes is still yet to be determined but your website states that you can customize the class to our needs
15-May,we are interested in developing a technical training program that compliments our lean management roll out first thoughts are looking towards a twi type system
15-May,training for the project management team we anticipate taking on more process improvement style projects and want to be prepared
15-Apr,a larger group trained on the key lean concepts with out having to send every on to the work shop out of house
15-Apr,further understanding of lean and it
15-Apr,we are a 3+ year old growing start up retained search firm that works exclusively in the private equity arena placing c level candidates at portfolio companies we are the only firm exclusively serving pe backed middle market companies we need to build additional process and discipline around our work
15-Apr,new employee understanding of lean process driven organization
15-Apr,quotation for lean leadership lean management kata on site training by lei instructiors
15-Apr,we are struggling to make lean a part of our culture we have lost a few talented passionate people that wanted us to fully support and integrate lean concepts into the organization as a leadership team we have not been able to embrace lead or make change to the organization around lean
15-Apr,we have a current lean program developed through tbm we are looking for a more felixibel lean one time training events
15-Apr,"to stream line our process 
to have a overlook on our bottleneck 
to develop a structure on our lean approach 
to avoid conceptual approach in our process 
to develop better inventory attack approach"
15-Apr,"testing 
1 email forward
2 process for scheduling

during my absence"
15-Apr,i have done a lean transformation at another healthcare company i'd like to begin the lean transformation at compass medical compass medical is a 100 provider mostly primary care outpatient affiliiate of steward
15-Apr,optimize work flow to reduce number of people the problem is we use more people to solve production problems but it is very inefficient
15-Apr,products to the market faster
15-Apr,we are implementing a 5s program at our site and would like some training for the associates that will be involved we are looking at site training
15-Apr,we are starting the lean journey and looking at options for transactional lean training
15-Apr,"historically moog has used a ""reactive tools"" approach to lean not surprisingly there are no sustainable principles systems tools or results we are now working to develop a sustainable ""lean"" culture throughout our organization"
15-Apr,implementing a culture of service the evolving needs of our constituents and stragtegies to enhance our forum
15-Apr,training of employees new to warehousing and supply chain management
15-Apr,lack of coaching skills in a3 thinking
15-Apr,establish a program to promote lean process thinking that recognizes employee efforts to improve finance through continuous improvement opportunities
15-Apr,reduce unit overhaul duration using lean
15-Apr,my team is a consulting & advisory services group who work with fortune 500 customers across their value chain from product development to supply chain to manufacturing and customer experience we would like the entire team to absorb the lean thinking philosophy in our consulting processes
15-Mar,to become more lean as a building
15-Mar,tracking status for critical projects and involving everyone by visual displays
15-Mar,"our company has always strived as contenious improvement culture we now are looking at this from a lean perspective we are looking to implement lean across the company creating process and improving the process there is not a specific problem we are trying to ""fix"" but we want to make sure we weed our redundancy and look for predictability to capture potential issues before they become issues"
15-Mar,trying to shift the mindset of the organization to a product centric company program teams & leaders need to have a better methodolody on lean approaches to problem solving/projects as well as ensuring the ability to pivot quickly when new learnings occur
15-Mar,toyota kata training
15-Mar,no problem specifically as toyota kata is not a single problem solving approach
15-Mar,reduce and economize production work environment
15-Mar,development teams for responsible experts in particular we would like to develop our npd leadership team so that we create a culture that supports and develops teams of responsible experts as&e's npd leadership team consists of functional managers chief engineers project management the vp of engineering and leaders from the greater ipt operations filed service manufacturing and the install team
15-Mar,"learn management/leadership ""coaching"" strategies i like your posted webinar on ""two basic forms of coaching for lean"""
15-Mar,a3 and war room\kata training
15-Mar,we are launching an internal lean training curriculum where we already know the key modules and content that we want to cover we have set up some of these to be trained internally but want an external party to support training the other modules this would be across europe and some apac at our key operations sites in a number of languages italian french german english chinese
15-Mar,our company is made up of several different types of companies and we wanted to bring our leadership in from our hardwoods sawmill in amma wv lumber distribution facility in little rock arkansas and export sales divison from charelston sc to come together and discuss ways that we can work together to improve our individual businesses as well as use the leverage of our common ownership to save costs
15-Mar,as we progress on our lean journey identification and implementation of new process and tools are instrumental in our transformation creating an environment of standardization and sustainment is an opportunity for improvement within all 7 of our sites
15-Mar,i am a surgeon in a small practice with one other surgeon and one physician assistant and about 7 or 8 support staff we have had a major downturn in our business with turnover in the support staff i have learned a lot about lean becoming certified in lean for healthcare and reading several books and feel like i can act as a change agent but need both a competent manager and a sensei to implent a lean transformation i'd like to implement flow into our outpatient activities and then become a model for improved productivity and efficiency for the other specialty practices in our medical group of 250 physicians/advanced providers
15-Feb,implementation of lean throughout distribution network
15-Feb,process improvement
15-Feb,lack of familiarity with lean thinking and its applicability in our setting
15-Feb,we would like to provide our management and supervisory team with higher level thinking and business skills in order that each employee can run their business effectively
15-Feb,we are looking to begin a 5s program in our shop
15-Feb,mid level management lean certification process give mid level management the tools to know what good looks like
15-Feb,we have had lean training by kaufman global consultants we would like to provide more training opportunities to the staff that didn't get to participate we are a public state funded psychiatric hospital and nursing home facility we are currently using lean principals in the psychiatric side and would like to spread the training and implementation to the nursing home side
